freq(1/um),P(a.u.)
1.533968061944976258e+00,-2.820070466430084919e-18
1.534789463852309632e+00,-3.568708625459977510e-18
1.535610865759643007e+00,-3.243011222350898181e-18
1.536432267666976159e+00,-2.829923841886816584e-18
1.537253669574309534e+00,-3.399884371160354773e-18
1.538075071481642908e+00,-4.386121889339979034e-18
1.538896473388976283e+00,-3.383102530892878948e-18
1.539717875296309435e+00,-4.014221485936137791e-18
1.540539277203642810e+00,-5.074309689204496363e-18
1.541360679110976184e+00,-4.687374450986891289e-18
1.542182081018309558e+00,-4.872504089521159307e-18
1.543003482925642711e+00,-4.735920026776403377e-18
1.543824884832976085e+00,-3.525457005590804799e-18
1.544646286740309460e+00,-1.801215562336269671e-18
1.545467688647642834e+00,-2.713681804765964711e-19
1.546289090554975987e+00,-3.092464350866247144e-18
1.547110492462309361e+00,-1.197704587417580679e-18
1.547931894369642736e+00,-6.022192496741261836e-18
1.548753296276976110e+00,-1.645785016515105559e-18
1.549574698184309263e+00,4.519979564785760184e-19
1.550396100091642637e+00,4.022982982984299460e-18
1.551217501998976012e+00,-2.469312799483099063e-18
1.552038903906309386e+00,-3.480881896741547243e-18
1.552860305813642539e+00,3.121316410632096749e-18
1.553681707720975913e+00,3.823930240379538881e-18
1.554503109628309288e+00,-1.886342373535326855e-18
1.555324511535642662e+00,5.977511508773597493e-18
1.556145913442975814e+00,9.078499128671591034e-18
1.556967315350309189e+00,2.980708941387882893e-18
1.557788717257642563e+00,1.124732699011622705e-17
1.558610119164975938e+00,1.234042300854790164e-17
1.559431521072309312e+00,1.429791614965258972e-17
1.560252922979642465e+00,2.412519240369698226e-17
1.561074324886975839e+00,9.860310538987310247e-18
1.561895726794309214e+00,1.359996100111504624e-17
1.562717128701642588e+00,-1.542955216718433498e-17
1.563538530608975741e+00,2.525344028943971031e-17
1.564359932516309115e+00,3.535515521839449615e-18
1.565181334423642490e+00,8.139986623113826258e-18
1.566002736330975864e+00,-1.427589329302397791e-17
1.566824138238309017e+00,4.788785470596912397e-17
1.567645540145642391e+00,1.135701775678565895e-17
1.568466942052975766e+00,3.708310243079326884e-17
1.569288343960309140e+00,-5.183841637196318075e-19
1.570109745867642292e+00,3.755405274946665983e-17
1.570931147774975667e+00,-3.576511916486557752e-17
1.571752549682309041e+00,4.540096597283049817e-17
1.572573951589642416e+00,-2.224647332668694411e-17
1.573395353496975568e+00,-3.720846330698690529e-17
1.574216755404308943e+00,-1.747598376775072460e-17
1.575038157311642317e+00,-6.926696629466766453e-17
1.575859559218975692e+00,6.790154918369373238e-17
1.576680961126308844e+00,-6.207735063837316325e-17
1.577502363033642219e+00,6.164366976937896148e-17
1.578323764940975593e+00,1.870248747537495149e-17
1.579145166848308968e+00,-5.912289971835016367e-18
1.579966568755642342e+00,-2.740727566771794521e-16
1.580787970662975495e+00,6.408990092104938086e-17
1.581609372570308869e+00,-1.476344545746355319e-16
1.582430774477642244e+00,-9.466779031692962310e-17
1.583252176384975618e+00,-2.021054493466650781e-16
1.584073578292308770e+00,-1.510632439451209397e-16
1.584894980199642145e+00,-8.704110565985190284e-17
1.585716382106975519e+00,9.444756175064350501e-17
1.586537784014308894e+00,-5.324787919619433652e-17
1.587359185921642046e+00,7.622618898930899611e-17
