       Step     Time          Energy          fmax
LBFGS:    0 14:11:05     -403.135937        2.165529
LBFGS:    1 14:13:26     -403.312948        1.308000
LBFGS:    2 14:15:30     -403.456891        1.200758
LBFGS:    3 14:17:53     -403.655805        1.701194
LBFGS:    4 14:20:13     -403.835054        1.639421
LBFGS:    5 14:22:11     -403.975524        1.509693
LBFGS:    6 14:23:42     -404.161096        1.240462
LBFGS:    7 14:25:04     -404.286386        0.859669
LBFGS:    8 14:26:27     -404.365656        0.655767
LBFGS:    9 14:27:51     -404.424065        0.587382
LBFGS:   10 14:29:11     -404.462680        0.445793
LBFGS:   11 14:30:34     -404.481446        0.181997
LBFGS:   12 14:31:41     -404.488530        0.149136
LBFGS:   13 14:32:45     -404.495606        0.095298
