Energy(eV),Osc
2.010664502770348472e-01,4.890344467436743050e-22
9.342177737934524995e-01,6.047989013503706149e-06
1.112512312915316715e+00,5.574575031154139079e-22
1.161467888870888254e+00,2.066526851056722791e-02
1.504235462942500545e+00,1.804102138507117494e-23
1.506720553642250104e+00,9.802985338312809226e-06
1.507241522377942955e+00,1.561428315374236743e-21
1.538554057709944578e+00,8.472507144756160207e-23
1.541605040241644797e+00,3.437575977800836615e-05
1.565894356665158860e+00,8.499792379017261102e-21
1.570173341116177790e+00,9.327869963877564920e-04
1.676193882187813511e+00,4.548699942109018562e-20
1.684913950603466493e+00,4.077737889318724137e-04
1.779785187862900075e+00,1.296689454472792035e-23
1.795261456445696790e+00,2.521199860318928303e-04
2.074487928678301785e+00,5.687390968949647581e-03
2.206526176836189457e+00,2.430874372828852055e-22
2.214920846528581677e+00,3.116540453093031437e-08
2.236893294382332975e+00,2.332346673269396271e-22
2.253113738950453193e+00,4.605979241366478765e-07
2.266443379329349472e+00,8.469515103672358074e-22
2.278740189009884176e+00,6.737987141692384791e-04
2.361329381376393144e+00,1.669192644707651488e-21
2.363642056486788157e+00,2.971501006490213115e-18
2.375056547173410859e+00,5.732055766459336760e-03
2.428315792917147498e+00,1.064795630629555194e-03
2.462658474615232684e+00,1.827239091594364166e-21
2.497240111127339457e+00,9.055097055134664532e-21
2.500518825026066594e+00,2.957719273581601097e-03
2.501985525272906852e+00,4.102224235910695744e-07
2.508410701504117934e+00,6.344461164443378765e-19
2.512657704418583382e+00,5.520240879545913358e-04
2.736469772212978491e+00,1.503499561862062296e-23
2.737444390942202599e+00,9.586636778881077358e-10
2.842793886779241941e+00,5.898059024693154345e-23
2.843030684204523872e+00,1.905352798896031835e-09
2.866192987044043683e+00,2.843363597144114773e-22
2.866639113472999600e+00,1.169939990382791576e-06
2.959545546372404079e+00,4.157943562332836385e-23
2.960102433069036199e+00,5.044724416353578455e-06
2.978237647015305356e+00,5.664835370749744399e-24
2.979250764783420991e+00,5.803472274893800267e-09
3.009441198785865801e+00,8.937866284416899362e-21
3.158647930404369308e+00,3.298619911967674151e-03
3.193883981364475044e+00,8.321533734286962625e-21
3.211725144053420244e+00,1.653621540385817442e-19
3.212063805226189395e+00,2.146947344014617663e-07
3.229735095339278939e+00,5.506757764217649160e-04
3.399142591388708556e+00,1.301013299254994257e-20
3.522289070203537431e+00,2.631659220273622364e-21
3.528813413851288328e+00,8.707406649552014398e-23
3.530089606317499129e+00,3.250011495426511787e-08
3.550040718218133939e+00,5.161574954531174382e-20
3.571121119718634773e+00,2.160211032564980302e-02
3.628464154834182498e+00,1.249433831059992839e-02
3.640656560201590342e+00,1.459265905522884842e-02
3.642317779024661917e+00,6.088414918166762392e-19
3.650981148959071998e+00,7.033512953034158779e-20
3.735077013394613399e+00,4.724214975912848641e-02
3.782982361768328694e+00,4.118550869283753875e-20
3.785761292207210804e+00,6.638452237484201122e-03
3.872393232115520778e+00,9.502279117179887949e-03
4.032160465598115806e+00,3.322340618916385268e-23
4.032865340633051687e+00,1.000064941315554939e-10
4.061336604399429895e+00,2.200447575207608073e-24
4.062049451536462463e+00,4.660571430127793365e-07
4.111852274332000512e+00,3.495578905048669064e-22
4.115506311460428002e+00,1.759917206069841695e-03
4.170549347468448076e+00,1.758840591475676603e-20
4.210464148735660217e+00,6.208463044686120653e-22
4.210655006395782607e+00,1.697720642290379343e-07
4.221654435906712521e+00,4.459772815070192842e-23
4.222738072769511852e+00,2.486847221274394955e-09
4.235930912304151974e+00,1.108431233802269362e-20
4.284171649766768120e+00,4.096521669235156395e-22
4.284584343018793540e+00,3.342427062639917387e-06
4.290352130379802453e+00,1.500573799467706484e-21
4.291484928883839700e+00,1.317930511087676935e-04
4.437631297883261716e+00,3.166351843638522956e-01
4.529220659555678097e+00,8.748906032429219778e-21
4.599128268193623192e+00,9.417128982754480155e-23
4.599780060667615800e+00,2.374569653027926278e-06
4.632659166620888058e+00,1.324551938627247645e-19
4.644235371321443040e+00,3.823554954188537747e-02
4.658645762874811247e+00,9.115023809834678610e-21
4.692714150654662575e+00,4.490573716100700551e-21
4.717029250989576816e+00,2.047327826339326654e-02
4.722392355806783293e+00,9.430443556458847260e-19
4.725389938970899095e+00,1.790690609519817379e-22
4.725563340947319446e+00,2.622548925240280949e-09
4.760175375613407311e+00,1.902742600991761335e-20
4.766829175147508479e+00,1.598196406655864536e-20
4.768631038823193613e+00,9.058750255175994012e-03
4.794506983138468570e+00,1.201892381618084046e-19
4.808662981960804217e+00,1.886008855670498474e-02
4.850900637819353101e+00,3.420916105457214983e-03
4.864079278949855478e+00,5.758643274032596257e-21
4.864451158859059987e+00,5.090351618863235037e-07
4.882396202839575317e+00,8.699478545196075857e-03
4.885348564095657764e+00,1.525363289285248253e-18
4.889764920032102502e+00,2.279224479802510472e-01
4.892254801995225222e+00,6.727933935803213324e-17
4.894689181734851680e+00,3.240392480714763407e-02
4.898376713587476061e+00,5.570083168120196948e-21
4.900742236565812426e+00,1.726978380575484862e-02
4.905094533277646107e+00,1.289417513101556931e-18
4.916979404357920025e+00,1.475089502265385041e-19
4.919697850465955646e+00,7.492294922158451199e-03
4.919910773198891363e+00,4.251014793552327503e-02
4.939697167577358883e+00,2.915281033726240202e-21
4.940853122680178622e+00,1.645910559810713725e-06
4.943259606193959321e+00,3.691715322004097608e-21
4.951669692028842107e+00,7.705127109857437082e-20
4.974606801399298561e+00,9.721591494612787271e-20
4.980333162769651878e+00,3.907802680818132579e-19
4.992495009977130138e+00,8.839526673035442983e-02
5.008650011949766778e+00,1.012628435500107803e-21
5.009975376535944491e+00,4.253771867890415129e-05
5.010735577061522505e+00,5.020607520758463976e-03
5.015129069100210835e+00,8.793802568045609889e-19
5.028083152537604406e+00,2.037349339254422298e-01
5.046997719445041497e+00,1.781318478574011776e-18
5.051309924714418642e+00,5.551565068193444613e-02
5.058739312336459903e+00,1.330531014089784196e-16
5.060447260964373584e+00,1.857095109837089419e-01
5.072065181912979170e+00,3.520904195670451764e-02
