Energy(eV),Osc
1.101537831053281735e+00,1.057471656633906729e-02
1.104892760950751507e+00,1.998879619960990464e-02
1.137636337116738394e+00,1.285353414827964703e-02
1.140683239236320867e+00,1.065368618364435395e-02
1.165384147494650469e+00,1.298253866509435542e-06
2.066624711725840502e+00,1.080546324592629864e-01
2.070078845813518864e+00,8.021927333092900014e-02
2.070999387732964436e+00,1.888110702381086761e-02
2.204823662180818822e+00,3.599552941736120504e-01
4.099309702383421516e+00,5.911859935821426638e-03
4.101758395256811518e+00,1.605871774583534847e-02
4.102226531108194685e+00,1.860272585656902802e-02
4.233300065553338598e+00,1.364427436313355169e-01
4.329898110268467271e+00,1.236313214136013222e-01
4.331005068523634982e+00,1.346195590393955144e-01
5.139131425772657913e+00,2.309280682736755078e-03
5.147827805725591510e+00,8.715203376566659291e-03
5.149658960303485244e+00,6.800224610699257986e-04
5.153815808077233385e+00,1.015721733843499563e-01
5.154065139282197450e+00,8.634197162298509753e-02
5.171213156245100251e+00,8.968645900242702565e-04
5.173992503313676217e+00,1.285930644649573538e-03
5.174211204866320024e+00,8.601295044250016966e-03
5.179084220680369555e+00,2.346684674665716066e-05
5.209863568852307836e+00,2.764932311842813878e-02
5.210309094575739763e+00,2.342966344894345868e-02
5.212853576258385857e+00,1.809191103492591851e-02
5.217285611485517727e+00,4.022404757064623054e-03
5.257907844912898199e+00,5.538112287821975177e-02
5.258524526815613775e+00,3.747117383025914961e-02
5.263175319214284720e+00,6.322149954210208676e-04
5.265888658820030876e+00,1.078167615588348921e-01
5.284323872842551673e+00,9.940417037281184544e-05
5.300672971436380720e+00,2.603667401480235601e-15
5.313816691410548465e+00,5.756108103271868892e-02
5.315970559220152936e+00,4.857374484157030159e-02
5.333916300567849156e+00,7.718715557464539412e-02
5.350154210587389159e+00,7.099366514397103358e-10
5.360822210289342138e+00,8.441456413427643381e-07
5.382173105729656903e+00,5.145844387499644464e-03
5.382398702667379631e+00,1.136098953761518517e-02
5.388263350638725413e+00,3.401756965922288212e-02
5.389495104567600059e+00,1.445595618333190002e-01
5.391543859399132721e+00,2.414243286865806193e-01
5.396855901777767528e+00,4.364330807688653058e-02
5.399390502419477933e+00,8.763527945249142970e-03
5.401605749087280195e+00,1.455131985488013480e-01
5.457220311111069755e+00,5.838651092349260441e-02
5.458033313126388286e+00,2.561544155652072108e-02
5.523804406647210286e+00,1.799226408474392802e-01
5.562200598202107216e+00,1.348383856623827926e-01
5.562794649371292088e+00,1.572107742804334241e-01
5.636428495228405389e+00,4.152173744750284334e-01
5.923595386417965791e+00,5.022011584259556343e-06
