Energy(eV),Osc
1.163124288029529163e+00,5.858558980123080608e-03
1.168488292388736749e+00,7.673213381477878015e-02
1.210326860130855664e+00,2.564840674777838295e-02
1.213893013453687164e+00,6.322795773891343174e-02
1.230708957290720384e+00,1.964972992395158397e-03
1.708188876094620223e+00,1.086300603802312172e-07
1.745074857510651611e+00,1.909854461284266879e-08
2.346419471309417748e+00,3.315724265616115107e-01
2.422372030113034036e+00,6.473165609791232955e-02
2.424840819180286378e+00,2.001169677129820967e-01
2.528143147876350305e+00,1.275743857901040224e-01
2.542668464068297052e+00,1.659750240928188902e-01
2.545081941463964714e+00,7.033040082682514571e-01
2.778736160547616851e+00,2.295651156218338922e-09
2.806053514064780430e+00,4.332703637198821328e-10
3.094527172433982898e+00,4.307845828235384311e-01
3.179602523908759970e+00,6.170997457439733776e-04
3.192050227485639269e+00,5.952092452637152559e-02
3.196442772179914460e+00,3.763759242690307150e-01
3.214809761576778779e+00,1.536752814598030814e-01
3.216631863801964641e+00,3.525272600889778341e-01
3.341387351113541015e+00,2.997677794436923819e-08
3.367134770092203855e+00,2.064688413314980631e-08
3.369883249345362319e+00,3.432545905327776562e-08
3.435966153396894374e+00,1.262491909132837436e-10
4.069833801558234931e+00,1.598616405174011523e-07
4.118757727033877103e+00,1.161362545317953267e-04
4.127186159378552155e+00,5.223476608515499608e-03
4.142128846034912826e+00,2.436064719287842420e-02
4.160795573384107549e+00,5.330184878526335673e-09
4.168414764066751488e+00,1.521851037634065414e-08
4.299069994810609252e+00,7.059576596039331305e-03
4.301114008825706492e+00,2.256840799215025731e-03
4.547707970022896617e+00,8.430436148960295190e-05
4.684757802250248737e+00,2.134295238813877704e-10
4.758167121636245334e+00,8.610502459300615913e-07
4.776007321329127642e+00,3.530009012966540566e-06
4.816109554472967957e+00,7.523864572612351856e-05
4.818954592606854881e+00,2.168256453652360087e-05
4.837292317584266144e+00,8.226555265362630868e-06
4.850631100280899943e+00,5.407959385234499046e-07
4.870159303935691852e+00,2.059769166022150460e-07
4.883049646668798260e+00,3.320983452583511976e-08
4.959788070874016519e+00,4.819272739129711880e-01
5.022791750004759415e+00,6.997993676348224223e-02
5.028886512377354734e+00,1.446552501343104369e-01
5.041802964267557918e+00,1.163174897243660771e-02
5.042488264848427271e+00,3.458361515563493360e-02
5.047618911945502163e+00,6.450427457337833950e-04
5.136760394000660312e+00,1.812242002927898915e-02
5.158973870898268643e+00,3.437423430125063385e-03
5.162527809054941130e+00,5.538883744029826769e-04
5.163700540123699056e+00,6.695875031533802049e-04
5.171471425776629438e+00,2.150732265433216023e-02
5.177256351360280284e+00,6.073490294666115952e-02
5.178517647036432692e+00,1.207138662657943930e-02
5.180893795951186931e+00,3.773570525191948920e-03
5.209386758382456684e+00,5.345482220507263155e-02
5.211070236362732366e+00,5.655651018153819848e-02
5.221971501519714565e+00,3.584750774718363509e-03
5.226750394131514987e+00,1.958580965021062322e-03
5.237274949426222292e+00,1.252267586217540706e-03
5.246760768345808401e+00,1.048146561641846112e-03
5.248087109294806929e+00,1.689800436897985828e-02
5.248566619209040773e+00,1.068454532426402377e-02
5.252935545316337773e+00,3.344340037687199615e-03
5.266108166761385156e+00,2.881499207664132145e-01
5.268837711942951252e+00,2.221418786330509737e-02
5.280329031173756960e+00,4.742551939889790014e-02
5.311007576616898263e+00,5.174524340993557237e-05
5.355542106281053094e+00,6.556830114545375565e-02
5.356935526788549673e+00,6.085461799854727932e-02
5.371702254969756396e+00,8.671998450332426070e-03
5.390116644558125891e+00,4.163210776688948400e-02
5.395673184879867357e+00,7.895509833398905997e-02
5.403090151202389890e+00,2.875899165552021561e-02
5.426148305627898516e+00,2.119347729174381058e-07
5.440966892554726542e+00,1.115917611894829722e-05
5.444962757615100735e+00,1.014256302654247960e-01
5.452205983044681403e+00,9.878314832413109814e-02
5.464753097629120759e+00,5.500003352761549946e-01
5.515084859174567811e+00,3.663048762607875848e-04
5.521650273703532896e+00,1.828537119627832719e-01
5.523635200636304532e+00,1.042432761631409508e-04
5.535780584992913589e+00,3.152856783990758971e-01
5.539082932085885425e+00,7.971986485767226761e-05
5.543914943608569956e+00,1.387795276158203528e-01
5.630379242674953488e+00,2.862033711538928909e-08
5.687674973712076643e+00,2.410843556300450569e-08
5.702695904133639360e+00,8.367985401842351452e-06
5.723342995926481436e+00,3.675259370912746174e-06
5.735086177966806531e+00,1.469884145715435943e-04
5.738126745691563002e+00,1.123666048737869049e-06
5.748077140319535872e+00,2.706108213910621252e-06
5.773961597541217294e+00,2.850399594798990960e-05
5.782277105667936290e+00,4.567932473772636138e-05
5.863138653602208095e+00,3.177910922738740330e-06
5.877195262274930165e+00,3.715493384461451766e-04
5.900840125365556688e+00,7.548170905318309707e-06
5.926470070244868715e+00,2.726909050762967631e-03
