Energy(eV),Osc
-1.082981045202519900e-02,6.757539817500714056e-19
1.724872002298291629e-02,9.945444927059078559e-06
6.900555190865081956e-02,1.216633174982782476e-20
7.552769826803702735e-02,6.594315106143640168e-20
8.186088867402870062e-02,3.336817635890752766e-04
8.842384886457119175e-02,2.963247596845713168e-04
2.011437766861877696e-01,1.865896249103834453e-20
2.049015603280908149e-01,3.885947571453391538e-20
2.074534486845437120e-01,3.088222871298631956e-18
2.082501701956756823e-01,1.100055018825901488e-04
2.113116776085866289e-01,2.851726169903385685e-17
2.116498046259370491e-01,1.759998879188671820e-04
2.148192015067683647e-01,3.338581794593177142e-04
2.190751951593054025e-01,5.731395909891423513e-04
2.237502446094944419e-01,1.127456028019830765e-20
2.301299025640468621e-01,4.278386106621571926e-18
2.308805901128124227e-01,1.388760272350871949e-04
2.343264371688662806e-01,1.763505251470739402e-22
2.378854893506963109e-01,1.768168538608969954e-04
2.439921447053293724e-01,8.415808782618977532e-22
2.489562891024918456e-01,4.928725642427889137e-22
2.784961884106593177e-01,1.339217113180764358e-21
2.823031420639114941e-01,3.673644438767335147e-21
2.909702453598811411e-01,8.921969899205861164e-05
2.950029690513385483e-01,6.178045758196283436e-05
3.007666758749770186e-01,4.120697719063038507e-21
3.144835391517755152e-01,1.967802172592932244e-06
4.394460959085442764e-01,6.705627477262486788e-10
4.454495111781535122e-01,8.476313376096318837e-13
4.525299451940810735e-01,7.110975493213185533e-22
4.533180532236652516e-01,5.310359605349010464e-21
4.884059754932880137e-01,1.245997279012588023e-21
5.012524141415020118e-01,7.045867889552981388e-14
5.673450633943624144e-01,6.504589750813540239e-06
5.723496270749734993e-01,5.326764819143223779e-11
6.276157422138882724e-01,3.101488860113575424e-04
6.830717949018961788e-01,7.333572719893553366e-23
6.914089315453718632e-01,2.554493876209647710e-23
6.960672304606386751e-01,1.111640195692032025e-20
6.998725145549214988e-01,9.614082280350514070e-22
7.048125691450007890e-01,5.924069380213758348e-07
7.059594917444903528e-01,5.762092111932021305e-13
7.103481174848264024e-01,4.776407232891940382e-09
7.139687801434381198e-01,4.156375718760282900e-21
7.189599113525542151e-01,1.093363145021031164e-12
7.212043149102661532e-01,1.591019386167885465e-21
7.263526437933829349e-01,8.471968364063837618e-12
7.358940994494307386e-01,8.381489278390449995e-08
8.381124507447558214e-01,1.188912922734983486e-19
8.444294900390650893e-01,1.200510061080240272e-17
8.462008119566839515e-01,2.232267736707828007e-03
8.530924042347166614e-01,2.402387530409017674e-03
9.140696194100678129e-01,2.073725271474398430e-20
9.464603192191330949e-01,2.281057941829208336e-03
1.273659972661403295e+00,3.529122517997282865e-21
1.280557774772534962e+00,1.739968537891500379e-21
1.368864910098044563e+00,2.013349986258677645e-20
1.370894475832725501e+00,3.274965829238016054e-19
1.376288670648585732e+00,2.993417450556889489e-18
1.376309652482520018e+00,1.349192057655099275e-18
1.378603101553280030e+00,1.163544859317275620e-03
1.380645127761485735e+00,3.744799520545238236e-10
1.380937478365873883e+00,9.050771733271735855e-04
1.384934081835291764e+00,2.426750296313368895e-03
1.391782277386408584e+00,1.369918087694912499e-12
1.393006158483848456e+00,6.654939455747982228e-03
1.447034389910945240e+00,1.822509164173501498e-20
1.447815074935017821e+00,7.446145969332553695e-20
1.458261631475507025e+00,1.155046449747307606e-03
1.459808702406680370e+00,1.904048276300988581e-03
1.500241454084024761e+00,1.506505482457795414e-18
1.502180733929605383e+00,1.140335105187560751e-20
1.503234151669937457e+00,2.490003242590745959e-04
1.505993014633107308e+00,4.765995695387040181e-19
1.509391208616988944e+00,4.719151671778250107e-18
1.510422308100763722e+00,5.736342936065373340e-05
1.513883859728296200e+00,8.116431274100887943e-04
1.521460430732858748e+00,5.702639020954585608e-02
1.522833525937758337e+00,1.500286998229006124e-18
1.529128664231129475e+00,1.275625829188439492e-18
1.530775191945237923e+00,2.235875758299392586e-04
1.538089202430409141e+00,1.554939088085172214e-04
1.576521427884866045e+00,5.173034275667721914e-21
1.579249969821391097e+00,2.646423686302276806e-19
1.595645578877988191e+00,1.311183952806012961e-03
1.597784423683215715e+00,8.129476868956354299e-19
1.598125417939191051e+00,2.510357063320666372e-03
1.635430648355465255e+00,1.134863672668503208e-03
1.668080552585581078e+00,8.351217381356491146e-23
1.669161397898420107e+00,7.320559854660699788e-07
1.674609352898433157e+00,4.797074852975665438e-22
1.675591734703376190e+00,2.262467336951742256e-12
1.709624986626336218e+00,2.583876524076941219e-22
1.710518043646655384e+00,1.742380814121940792e-12
1.715829822845179153e+00,9.065429680490822494e-23
1.717016204900955412e+00,6.742766041574436150e-07
1.745361564669467791e+00,8.998602423060973166e-23
1.747964874872162788e+00,7.931404946777707513e-14
1.785536443264548412e+00,1.401892923837979723e-21
1.786851304885884728e+00,1.983664529300973758e-22
1.789336540257518759e+00,4.711767557232288042e-09
1.823687814241824912e+00,2.867288219294424930e-20
1.824516713872357032e+00,2.303188924837976313e-21
1.857523497787657130e+00,3.571898409164440779e-21
1.880869274113326828e+00,1.168894025888052383e-13
1.893940575627357292e+00,1.058606725313891110e-18
1.907457818913542269e+00,8.062947402034858078e-06
1.907610333197142571e+00,7.478814820532077175e-19
1.909215077723628307e+00,3.935775455481129420e-11
1.921198705623714531e+00,6.354123292739515142e-21
1.925106396421952804e+00,4.219966942894187657e-04
1.927747681841924576e+00,8.995785360519237756e-19
1.931846482567318279e+00,3.057708516527183132e-04
1.938438764848187779e+00,1.117279547519976569e-18
1.940939692997673438e+00,3.745765910464954372e-04
1.942086066726906202e+00,1.190286334754734933e-08
1.944779518416959174e+00,1.159105087145980189e-21
1.948616609541472311e+00,1.091744924501822782e-05
1.988697378224925982e+00,1.060439337077431048e-21
1.990760799542196979e+00,1.027714662393125935e-19
1.995947738603524257e+00,5.485165257612192199e-21
1.997618107888682548e+00,5.144586610406095726e-18
2.000864415331965240e+00,3.459090131011590308e-05
2.000999206985415668e+00,8.169239046038116135e-20
2.002310465628343028e+00,7.724463612763569763e-11
2.009187306604295120e+00,4.548437064033114919e-12
2.010294836647037453e+00,2.546461763725514028e-21
2.012299100395070983e+00,1.325266648441796941e-05
2.015865237175848534e+00,1.094234359032696142e-21
2.018507883582665308e+00,1.112139804870028346e-20
2.023819944852802699e+00,2.012256682739002730e-04
2.025172398219833969e+00,2.126394700910537385e-05
2.033006681600602494e+00,7.271191043023175760e-02
2.035299858650116089e+00,2.911092778007336899e-10
2.122571974555203855e+00,2.905674624625442579e-18
2.152284768223517109e+00,1.706572350606052556e-20
2.152434361607481250e+00,9.789251639151361242e-20
2.154407455014133443e+00,7.570100703922770394e-18
2.157205249000541780e+00,5.566124125229002283e-04
2.158245281426183215e+00,9.443668895322567275e-18
2.158705416117422615e+00,4.781558880708550863e-05
2.159350800105232615e+00,1.636009564099058468e-18
2.164275556433803427e+00,1.015665769318615120e-03
2.165034866554717219e+00,2.332767596108406474e-03
2.175911799923807788e+00,1.668876539543148453e-19
2.182291554487245211e+00,7.982154172621059960e-16
2.182486617899160208e+00,1.756067826091643703e-03
2.188981585019717624e+00,3.290606842152040117e-03
2.190895124871100830e+00,3.200709425883652062e-03
2.204484126326932802e+00,4.612050881980062428e-17
2.211072440393267780e+00,2.200599618531392244e-18
2.224131841808211885e+00,1.393490823627528859e-02
2.227473573052017652e+00,1.368223604656235347e-20
2.228037562862397181e+00,3.191466989521251922e-18
2.229062590087012907e+00,1.550163700843498000e-21
2.229722926274688710e+00,4.484582005214157411e-20
2.230651449250624196e+00,1.781081911137559069e-04
2.233853295791689675e+00,5.314543794659822808e-19
2.234673869802774604e+00,9.956515163507918331e-19
2.236346557034264215e+00,8.424591920684358008e-05
2.237534832683616415e+00,1.198837295820837784e-03
2.241436812485399166e+00,3.174903560549987690e-03
2.243151227810926240e+00,3.622006797434869536e-03
2.248214806994262460e+00,9.286976241605375201e-03
2.250683268559684258e+00,8.292607515233670415e-03
2.254139947429897983e+00,2.369190471673196736e-20
2.259417437265688555e+00,7.018497645095330133e-05
2.304028083707650332e+00,2.680028742956992039e-21
2.304049886947519443e+00,5.244032816825385779e-20
2.325891154435652197e+00,2.121576841761261059e-02
2.326696586710479409e+00,2.112064644046282580e-02
2.401106211485958042e+00,1.776695227871962789e-21
2.409975817513665852e+00,3.375975018293491375e-19
2.426127830364043447e+00,5.914100186644832835e-02
2.427822189148700183e+00,5.047069269044470611e-09
2.437849593958769656e+00,8.075304751321708450e-13
2.455287124183882064e+00,5.789743820580646080e-22
2.455943514669958194e+00,1.419998333723273850e-10
2.461734552565371992e+00,1.307361542571586533e-22
2.462365393888870546e+00,6.524400275634148542e-16
2.532923904971373208e+00,1.566508904988950841e-23
2.534321640556644439e+00,4.377660126681459941e-18
2.556645607212495008e+00,2.424913160209717198e-21
2.557635255166584187e+00,3.079456052158983684e-07
2.562920571769213840e+00,8.051888219144881447e-22
2.564267250529793429e+00,3.025903302517156621e-14
2.579792393277824392e+00,6.252258059157268319e-22
2.580997205413027906e+00,3.920825769782709274e-15
2.586181304085659161e+00,6.476595954850859339e-22
2.587385626482173517e+00,2.721536159115533487e-07
2.607712996762857838e+00,3.532695701672033976e-20
2.621648611781674187e+00,9.632551444720502952e-22
2.622927256682880071e+00,7.869747980352274446e-09
2.626874153676312051e+00,7.041409809623393068e-20
2.628182802987173439e+00,4.332770860329857391e-21
2.628953542076949201e+00,7.198457451336030645e-20
2.629347598388040996e+00,1.693423017330688218e-13
2.634131881957329835e+00,1.416117740083090266e-21
2.636403125779611223e+00,1.869665147200044241e-13
2.649244523695167164e+00,2.734721195351494177e-20
2.654044928843404261e+00,2.774486849879245387e-12
2.657320418590766842e+00,5.636138063763819932e-22
2.659567459219100982e+00,3.509143268585170790e-08
2.660367136226977181e+00,2.581909658623539994e-20
2.669059972183909668e+00,2.368943676892338779e-20
2.671575384151059218e+00,9.486985780713489365e-06
2.673677082692758056e+00,1.416730974228345518e-10
2.680782850517956728e+00,9.340519429001267159e-11
2.690502313498995601e+00,3.761567417345992187e-06
2.699146064592855332e+00,6.186615862393104360e-21
2.699593410964734375e+00,2.096909381039173078e-04
2.701344907716225929e+00,6.198691644650097366e-14
2.716102552168083051e+00,8.757585977354190286e-21
2.716274652878325035e+00,4.326810383895578735e-19
2.725327979424870151e+00,8.827257517791356373e-18
2.725487370254068509e+00,5.117564453423064739e-20
2.727753896233741315e+00,2.006764209562504374e-10
2.729322646145364573e+00,9.230447692034267099e-05
2.737619283997041020e+00,2.244409776406118779e-10
2.739313919710262279e+00,1.232840558011738291e-04
2.929561177876461642e+00,5.009265938131883518e-19
2.934223500962927389e+00,9.809137514816931572e-19
3.003481666416687013e+00,3.532297476034455524e-18
3.021262933159500452e+00,4.514980351145203227e-03
3.034094288380543070e+00,1.709024182305362258e-18
3.038102920079529312e+00,1.771953011554012379e-17
3.043731188285096589e+00,9.358494399815911803e-18
3.044283466451846554e+00,5.591658936790880330e-03
3.095599870522621089e+00,4.793733462614619039e-18
3.096168417576737220e+00,1.170701254953567242e-20
3.114622723802221937e+00,4.086542681617245584e-03
3.146103259247008399e+00,4.852005424691503048e-04
3.147206677951449816e+00,3.549112666086661188e-03
3.155030981456866890e+00,3.646752533615529066e-22
3.156236695872500331e+00,3.089458147495503825e-06
3.161526444559828342e+00,4.321210477825216362e-21
3.162469133821965261e+00,5.563653381600752206e-12
3.164990250817363293e+00,1.375610638851566901e-20
3.165854730275041717e+00,3.475017593460130038e-12
3.171290950740420556e+00,8.449245498106842607e-20
3.172582078600566291e+00,3.477597142050996010e-06
3.173145221353872003e+00,3.364866013766427272e-02
3.184957813282513150e+00,2.008254158299299999e-03
3.189943886459992051e+00,2.269354580000533875e-02
3.232310951623614592e+00,4.192852224869214206e-21
3.235029590126677235e+00,1.123031844188430838e-15
3.242212866369714064e+00,1.923681999327047701e-21
3.244862222055556078e+00,2.222767971302228393e-09
3.565716174894026036e+00,2.713119133395927442e-17
3.569601120288692364e+00,6.018273323051410301e-02
3.572041281496022069e+00,1.796573534631540306e-16
3.574692852284928613e+00,1.242545330313975516e-01
3.590797179508023795e+00,2.735151745762459470e-16
3.611295757253299765e+00,1.882121613248458929e-14
3.614849526979782901e+00,6.803817452600520177e-01
3.617857647731760107e+00,8.076466576867859225e-16
3.625014757417207356e+00,6.856358342021563468e-01
3.639328108692980734e+00,9.010943189429589533e-16
3.641583312696552444e+00,1.297997452377725184e-17
3.663391349207531178e+00,8.066588102180009823e-02
3.682679341759048874e+00,9.108233867501107708e-03
3.819820865165747925e+00,8.733189540094733689e-23
3.821250135333921882e+00,9.939123677348645175e-09
3.826228141603519539e+00,1.834575549744817785e-22
3.827708796041498385e+00,5.445539126184901908e-16
3.870030577646011327e+00,3.111384618418281076e-21
3.870675538750529387e+00,1.098222256604467461e-06
3.876172959007539109e+00,9.120554190899795370e-22
3.877394467962995694e+00,3.943768135747413502e-12
3.891217031381343006e+00,1.341115435092244057e-20
3.892264274774657196e+00,3.705428757322018181e-12
3.897797603720697612e+00,3.051181332107902859e-21
3.897840451733712630e+00,6.029603394846361431e-22
3.898539556870737499e+00,1.194232378418816570e-06
3.899273439835355681e+00,2.953483112010124428e-13
3.944803026917972133e+00,1.424140930253039381e-20
3.945659128579597219e+00,4.667208549951236057e-09
3.947090947676431760e+00,1.933793550091804941e-20
3.949711973167918000e+00,5.452604200020892986e-14
3.951275442398425319e+00,7.400665392708916173e-21
3.952025204115596768e+00,3.436322233474737624e-15
3.965730833055968407e+00,1.447528950092107224e-20
3.966481075662071198e+00,2.404966499099412674e-14
3.968445265931436428e+00,1.264695635773153063e-20
3.971124025094492360e+00,1.815184142386433250e-10
3.972111859630094166e+00,2.250796225111993911e-20
3.973017996292811382e+00,1.055959270001987091e-09
3.995531029038984716e+00,1.998274050909201391e-02
4.011185379471496226e+00,4.372782389859095989e-19
4.013994878514836273e+00,1.049150148576663208e-02
4.015414038397874030e+00,5.551311469137149487e-19
4.016890366690591740e+00,3.014246517060837295e-17
4.019450037618081062e+00,4.574071910642715094e-02
4.020944159690779784e+00,1.654268049042703780e-18
4.022650783997652191e+00,1.634014673307418225e-20
4.022683976219227020e+00,5.560292086387769274e-17
4.023929374037068740e+00,1.683983018850359652e-13
4.023984197238371863e+00,5.112493649543516411e-20
4.024733209545092727e+00,1.265345821658982184e-13
4.025362207766103317e+00,1.720767100485851367e-02
4.029212893084917368e+00,1.541031637069653357e-19
4.030162444104889552e+00,2.360988120334868021e-20
4.031428039355735571e+00,2.048455227127811709e-15
4.039075091678681062e+00,7.456044655038900382e-20
4.039766604078304901e+00,2.999101260134331506e-15
4.043543206394009992e+00,7.176099224495240497e-20
4.044827661214038805e+00,1.216815045655719073e-08
4.045421683266497759e+00,5.107315642862998747e-21
4.046296446240141620e+00,9.538442030617551737e-11
4.053144220820080967e+00,2.367137883497165765e-02
4.060422587929783944e+00,1.408127388962667922e-21
4.061689208211408442e+00,8.510127876556512792e-09
4.066710250295399121e+00,3.959079000836627467e-19
4.068227423047916069e+00,4.811297443296354267e-15
4.075917822145760816e+00,2.741728576505511467e-18
4.077653043191075355e+00,2.862745957970879676e-14
4.079368678256933833e+00,4.237351630242071621e-01
4.082700197347848281e+00,1.440336985484477472e-18
4.083737638497888511e+00,1.379971836704826509e-08
4.088430492385208836e+00,2.058069901186027079e-16
4.089674880549656777e+00,2.626474634406733566e-01
4.093520546075208877e+00,2.218351512999181127e-18
4.095221587890333304e+00,4.650700841322768192e-09
4.098191766302921479e+00,2.236686508607498855e-18
4.101237580806991190e+00,5.010243630210127532e-21
4.101259046792579355e+00,2.677843466534651153e-18
4.102489746200336462e+00,2.852414723364939727e-03
4.103598678759817098e+00,2.597909122062952138e-13
4.104610407165750985e+00,1.639222399567689620e-17
4.105623238617946313e+00,4.172911729618289132e-12
4.105634787272560260e+00,1.508805655318669120e-03
4.107708718035097739e+00,1.813953186634422534e-18
4.108610010453781491e+00,2.002724733209599911e-04
4.109587225888259532e+00,7.524390189459490211e-20
4.111945702396019975e+00,2.154051641168586682e-03
4.113293861376170035e+00,7.549339462051794791e-04
4.115899866293756482e+00,2.276621952939676794e-18
4.116388146205173904e+00,4.453076584645866946e-20
4.118843018968362024e+00,2.620555017370376629e-07
4.120255638640060170e+00,8.863561554706642651e-04
4.137195287539166877e+00,1.557493326242386109e-17
4.140632799858782853e+00,8.676805183946620925e-01
4.141159873637946021e+00,4.042457972306919711e-13
4.152940558987389785e+00,5.798897353237718998e-19
4.156893286098545914e+00,7.764177871810284964e-09
4.160102383148917227e+00,9.714548791690778007e-01
4.174753850467481264e+00,2.170365560097300302e-18
4.177931949240482723e+00,9.886799657991416481e-19
4.185952096504654385e+00,4.466485418260320931e-19
4.189249602435404896e+00,1.190905208980704531e-02
4.191943897203382008e+00,9.887276409029607457e-03
4.203707660645482846e+00,3.900567624341053324e-04
4.253497052554832791e+00,1.284145867329491605e-17
4.257112503424680838e+00,3.162059520642330425e-17
4.336676642044454688e+00,6.039454022172546610e-21
4.337782912061989293e+00,3.832671953740862239e-17
4.337884636302596242e+00,3.172992377917233857e-14
4.343099705607587069e+00,3.313470594939970276e-21
4.344350739789853755e+00,1.292438568712642202e-08
4.357849885626768227e+00,1.813686340427212614e-16
4.369008055126728074e+00,1.041079431244330833e-01
4.369088118943220245e+00,3.470225679302866495e-12
4.371522092469747101e+00,6.590666273333611155e-17
4.385754508055218714e+00,9.593413578272438902e-02
4.413638878542422539e+00,3.191540481059853631e-21
4.417273287776446011e+00,1.255198000080194341e-05
4.425275401064125980e+00,2.726805028311744909e-17
4.427356097456732975e+00,1.684240746676047177e-20
4.429760309496860060e+00,9.502171192927311291e-05
4.432766365030349931e+00,5.488528399116329641e-19
4.434742924725800783e+00,3.104984006873089926e-10
4.436135057270984561e+00,8.512812861723421435e-14
4.436246042724976135e+00,8.639774660818146101e-03
4.437282904891677759e+00,2.697046534536325041e-18
4.439348155575769894e+00,2.887946560121698864e-10
4.441953439557076777e+00,4.051012619152142288e-20
4.444381177965747831e+00,8.030223671133421368e-05
4.451381147020724960e+00,8.010734740430326477e-17
4.451531994491007005e+00,2.123038234160009904e-17
4.458515577009185549e+00,2.517206321967853117e-03
4.465601809124691179e+00,1.471870671741289383e-01
4.465922093188888553e+00,2.627023858688950975e-14
4.474852505748430076e+00,1.435481888184404513e-19
4.477807016915111404e+00,8.583421248596409536e-02
4.480254199663641579e+00,8.806920797711419187e-19
4.484809303970624939e+00,7.152984094091636560e-11
4.485251805666859326e+00,1.176197362797741422e-20
4.490371420687981008e+00,1.643855410200448175e-19
4.491346640946089153e+00,1.018333521096523336e-04
4.492650421290456109e+00,2.817655132194887271e-04
4.493124041926817469e+00,2.079215167302807686e-17
4.494857044707471161e+00,2.819791092727925590e-20
4.495705435670323880e+00,8.290894497785804859e-05
4.495887705166069281e+00,8.214849306542195324e-18
4.496204306226666780e+00,1.441085683276062727e-04
4.496492884942927759e+00,5.364056665554399681e-17
4.498137310389630272e+00,3.801319611315412130e-16
4.498228796634404780e+00,1.623875536591247851e-20
4.499428443675189904e+00,7.052092473937029682e-19
4.499678820541868518e+00,3.819916249059254647e-10
4.500073544103682543e+00,9.251687243558329202e-11
4.501655147122233913e+00,7.608457945928449355e-19
4.502391007528535383e+00,2.734779387409605472e-11
4.502491624669548997e+00,1.945307842511902197e-01
4.505785262704766758e+00,1.692875637171315521e-19
4.506516064527862575e+00,9.415085231049539537e-07
4.510826799194245673e+00,1.536851742918488767e-19
4.515057212772592976e+00,8.476603622042474812e-12
4.523123953428409116e+00,9.377383331513925222e-19
4.525634535684167403e+00,5.739093671663860640e-06
4.527228350345636088e+00,2.807027666806569797e-17
4.529074167123126493e+00,5.686717520868838293e-13
4.530621880864035056e+00,2.013229675383609169e-02
4.532863115094106554e+00,9.048014344755307260e-16
4.533700235786496613e+00,9.753118276046270768e-03
4.544975179760123218e+00,2.356288272652045337e-17
4.548655037516566857e+00,2.231122330453752688e-05
4.551899923502334744e+00,4.314558953937790024e-17
4.553644587512455821e+00,1.633618823567857413e-20
4.561323132704769634e+00,1.772736107475834023e-08
4.562040770584719240e+00,1.969473950766520431e-03
4.562837642535748195e+00,2.294905226073412862e-19
4.563433400818875718e+00,1.050687595072105802e-02
4.570984040231746093e+00,8.783946203903912197e-12
4.572931794108341386e+00,2.201311727088395158e-20
4.574291861107710133e+00,1.135076998728585968e-12
4.577077731250351000e+00,1.001680390972819273e-21
4.578391616984623269e+00,3.669513120066817085e-08
4.586003273841269490e+00,2.594044582555556146e-19
4.592031864601900715e+00,2.064572649806885734e-17
4.595857561913970990e+00,2.943508058058855181e-01
4.597609234334822936e+00,3.160373433172250154e-09
4.598604415052751193e+00,6.458734150524569635e-05
4.598846130445881641e+00,1.546629613058598244e-15
4.599448182612538183e+00,5.774772324848756368e-16
4.600118343745177363e+00,3.113851313840628743e-01
4.602470934537698177e+00,6.258521010379226289e-17
4.605285962974227765e+00,1.723663914523249982e-05
4.605582891005713719e+00,1.062130614730146815e-05
4.610573239479411001e+00,3.583665299008908631e-11
4.611560503636778385e+00,2.436273553908788971e-19
4.615581311160310563e+00,2.612430351854391154e-11
4.630382312626168506e+00,2.933222446788290999e-02
4.664100785458170861e+00,4.010325421187558269e-03
4.669685932049878474e+00,2.350337623742779908e-02
4.681644826914338253e+00,3.156964645834259980e-02
4.689269006949207785e+00,2.792966383343732806e-21
4.690085448927977296e+00,3.013969347494346794e-06
4.691786226545077376e+00,1.020747271739250319e-20
4.692876018758269652e+00,2.875279974853442971e-11
4.695481083851962723e+00,1.926493194042900754e-21
4.696719944620904030e+00,4.127835757502715927e-11
4.698336966426421846e+00,1.554908451141913149e-21
4.699249389310815594e+00,3.395407894251582945e-06
4.766664270079765231e+00,7.513457449898243745e-22
4.768763494029923500e+00,2.588679387095590956e-13
4.769339662295434046e+00,1.982417460663675736e-21
4.771441056296041872e+00,4.731221818843606845e-08
4.798438260077462658e+00,1.152156655814889463e-17
4.806594898283255368e+00,1.058180406772885612e-17
4.820008405618663616e+00,3.872275959157387451e-22
4.821447170776174573e+00,5.524795546517950141e-09
4.826438361426862222e+00,1.506750639519401265e-21
4.827876256897066121e+00,9.856531130248669309e-15
4.831921187030594922e+00,1.448930101229194894e-20
4.836489287885720856e+00,5.325132528057448078e-20
4.886075032104729488e+00,1.414738097646133126e-02
4.887000469853239437e+00,1.093158177474897835e-17
4.889154975348172449e+00,6.133095435900197748e-03
4.891411282503061564e+00,5.650121073936303460e-19
4.897536014980050645e+00,2.029059421348253016e-21
4.899910656617382010e+00,1.093840009249712657e-15
4.900586502134217426e+00,3.203047492610253931e-18
4.901592995465064106e+00,8.401699355389218098e-21
4.904848116859844787e+00,6.313467062555272024e-19
4.912946119497290987e+00,3.359524308971340094e-17
4.915992918541102874e+00,6.429321604258740608e-02
4.925612445299881514e+00,4.956497149483388154e-02
4.926960842672690077e+00,2.650422741467904763e-16
4.945637334575240907e+00,2.624901595278227080e-18
4.947703072171680816e+00,2.378736077794210399e-18
4.948081449401885656e+00,6.278759718208251534e-18
4.957838680709584445e+00,4.360332767923442987e-02
4.959042028444747174e+00,1.467017973950811814e-02
4.964719292447404619e+00,4.140164880136328207e-20
4.967280825475591577e+00,5.787886155147407147e-02
4.967899039581795684e+00,5.986313613271613232e-17
4.972238300377063602e+00,3.095755902978404840e-13
4.972673055679659448e+00,1.536211278069687426e-16
4.972708328953337364e+00,6.554986313244087818e-20
4.974101513853575796e+00,4.123582179402223991e-20
4.976960970370229553e+00,2.791294334633909845e-17
4.980505979500115643e+00,1.557133493066162510e-17
4.981989608937778868e+00,1.174979567745919138e-08
4.982664832842122138e+00,2.476285024561115586e-02
4.992863197835367473e+00,7.685270149448077126e-02
4.993770481726357069e+00,8.947124916081496127e-02
5.000938490693039640e+00,7.743288121497226423e-03
5.011888148871364912e+00,3.218623834140239473e-19
5.018065393939171059e+00,9.435166434870173271e-19
5.023954978647467762e+00,2.055918970245294890e-05
5.038502263044023266e+00,1.190652553799571511e-18
5.040305740906644516e+00,6.405568475058569244e-03
5.044872414555107376e+00,7.158265121611735482e-18
5.045881350416117073e+00,7.490737372744906038e-03
5.051491815116472495e+00,8.229610484068559592e-03
5.053716162293067526e+00,9.056363362119352733e-04
5.075313717150073067e+00,1.970393284167036574e-02
5.079404228446677827e+00,4.154695268070784951e-15
5.079406615325072316e+00,3.739277308626453005e-03
5.097116073907024258e+00,1.371110887597134862e-19
5.098350723147387242e+00,5.451223293496884491e-20
5.112892870217129015e+00,3.753152251807046860e-20
5.115190842496346590e+00,1.046748851323629587e-19
5.120483828419588157e+00,3.762943297695278647e-19
5.125211632680231055e+00,7.686139552229911140e-04
5.125292701492040415e+00,3.250213573928676661e-16
5.125398423585449059e+00,2.671661679605755874e-02
5.128552580956608153e+00,2.550927873012584241e-03
5.138091459840022246e+00,7.225071748288310232e-03
5.148751294659107636e+00,2.984773335992474061e-20
5.151698977048703831e+00,5.757666785019073293e-19
5.154186245849651904e+00,5.405805409759389360e-05
5.154855246971453475e+00,1.041697861481872697e-19
5.155638223224470629e+00,1.660647363399450091e-18
5.155993967731117067e+00,1.823351995743341478e-03
5.160629105768337332e+00,6.671378607705699942e-04
5.161866951465854392e+00,7.459100281723031301e-22
5.162811666572642011e+00,5.733670976930407815e-13
5.163807845896035253e+00,2.729521549949022669e-18
5.163998765107540301e+00,1.321719929747613183e-18
5.168276757537864974e+00,5.058276462484838626e-22
5.169280054172518568e+00,4.342918828833234295e-08
5.170542972219768885e+00,2.996421689417406822e-17
5.175116925823445513e+00,1.101648102648398644e-17
5.182163463564060990e+00,2.593512412526790260e-19
5.186669369057974599e+00,1.799607505732783776e-18
5.190030967814693419e+00,4.382829888512874278e-02
5.192171590750914945e+00,5.457304037530956442e-02
5.218675688845335614e+00,1.668376381899285693e-03
5.226927284566786014e+00,1.207351319434644098e-02
5.229897881081575051e+00,2.438172950884976396e-03
5.234911494007472577e+00,3.511460571073231166e-19
5.239821074945309576e+00,3.810295362411218528e-19
5.239823284424008243e+00,2.015860886540801748e-20
5.240816574240835024e+00,9.674608584397670437e-20
