Energy(eV),Osc
1.623686697509623356e+00,2.926680597567770113e-21
1.631025261800462145e+00,1.083637511193948685e-21
1.832867665946589675e+00,5.099297465135255430e-22
1.841455794897450371e+00,5.701059938718223853e-22
1.906326376539407175e+00,9.648851453928197069e-04
1.907336714275270184e+00,9.858121751487201531e-03
1.943332337677520449e+00,1.026414530915439524e-21
1.948731697878568259e+00,1.104047080229878940e-20
1.959601414660580465e+00,1.139747313632388733e-21
1.969061400813547191e+00,2.291496226782446334e-06
1.977836065443534741e+00,6.809587412228025141e-09
1.986880137920157940e+00,2.047141279899153364e-05
2.086326134656531828e+00,1.467195982458967581e-22
2.191121256444547249e+00,3.284737676671644485e-02
2.263817132613014760e+00,5.536175488978012371e-02
2.269678448907325397e+00,8.640975942639213606e-03
2.883364559365663826e+00,1.144841064007984820e-21
2.949668314862503138e+00,3.779143083058364005e-03
3.108692448463164393e+00,1.412084064134076603e-21
3.159238607684074829e+00,1.320503992604147083e-20
3.162077906049967524e+00,3.978368671092095289e-21
3.193783435223339850e+00,1.504228928573547864e-20
3.195094307612205586e+00,2.476342803794556453e-19
3.209435463030499758e+00,3.753531277880434169e-02
3.210563546089837406e+00,1.967434865813313255e-02
3.238659885869961119e+00,1.888203637522848559e-04
3.258259869128051101e+00,8.503489170099716443e-02
3.259406401475209325e+00,1.041897522844557368e-02
3.857975978199515765e+00,5.326288191042851563e-23
4.021426841380411510e+00,3.902106395852432130e-01
4.377779070245269466e+00,4.734694983450055725e-21
4.382505963735242815e+00,1.170937396339309308e-20
4.489345636804773498e+00,3.014303832901617165e-17
4.491256326005690802e+00,2.938324391114664480e-01
4.491540671478229996e+00,9.103769541957675188e-16
4.494395953553474321e+00,5.391425482058559082e-19
4.498153017011748744e+00,1.170817285371440891e-01
4.507446441881013399e+00,7.207288918812439943e-20
4.522690491128507517e+00,7.050080883260851694e-07
4.553361511906754089e+00,6.042692183967942395e-18
4.554708771194447614e+00,9.899736782514605149e-02
4.556953725038412450e+00,8.480877595300981633e-03
4.568222864762288893e+00,5.185599363838131132e-07
4.568524051699636601e+00,2.842722453356693602e-01
4.887993169359477363e+00,6.466083314134903035e-22
4.951092350808088405e+00,8.025042864532046238e-02
4.954207178127404632e+00,4.730363135221087855e-20
4.961655619578773546e+00,2.919668803626554008e-21
4.978537524701090788e+00,2.820561124740957026e-20
4.982102262843692841e+00,1.212048253541298795e-19
4.984198623352643409e+00,3.026107187875192198e-20
5.006331335242028224e+00,2.722044756931817603e-20
5.006710059223486553e+00,3.577494554060379491e-20
5.008077340430920898e+00,3.073150606647670761e-07
5.010094965633275166e+00,8.520200428599127905e-21
5.015013043547017269e+00,4.582040166439288651e-21
5.017564464955538206e+00,6.039843618069292074e-20
5.017610622439002910e+00,9.488100243254726505e-06
5.022243191228167980e+00,2.552952270737221751e-20
5.022882721705197007e+00,7.958934489283280246e-20
5.024306621121266581e+00,1.676486516937892451e-20
5.024926907039879431e+00,2.242916320796847583e-06
5.026492340814839643e+00,2.086065652101574397e-05
5.032232893546641606e+00,4.623644668964848363e-06
5.034490642443456565e+00,4.031837699712730415e-07
5.038627283216976060e+00,7.263911033454585021e-19
5.043724022195174683e+00,4.258405457136787345e-19
5.044783726609221475e+00,6.075755133146776792e-20
5.046679613023586697e+00,3.729539933523718320e-19
5.047531693017082155e+00,4.829371320977057238e-19
5.049357800483191383e+00,5.725529198314269572e-18
5.050094140771486551e+00,1.428732777748768605e-02
5.051969385354192710e+00,2.686687304446994627e-03
5.054389995066321362e+00,1.481473997548627212e-18
5.055452330675907824e+00,1.942982073970578967e-19
5.057387301020470183e+00,1.302974970044354017e-02
5.071524384373705452e+00,8.253141891996461366e-04
5.072361213106758804e+00,2.872089695710854858e-05
5.079001207708740750e+00,4.519027202414294966e-04
5.079836402791271688e+00,3.234663370121091471e-04
5.084094105438584421e+00,1.387313969741173330e-21
5.090553277789673814e+00,4.794816964065088666e-20
5.092901854172763976e+00,2.346096545176678484e-19
5.116767216408005581e+00,9.358837571910925031e-19
5.122302655512914527e+00,4.744630954587376881e-02
