Energy(eV),Osc
5.123385272271707258e+00,1.376845556527635521e-04
5.143897089574862136e+00,9.480968002068993839e-04
5.147186742306880447e+00,1.672725805996177909e-03
5.160485599858229300e+00,3.559751549076426141e-03
5.162863003576183552e+00,3.991889492938904306e-03
5.165066880076323308e+00,1.395963710467463639e-05
5.165212320238461885e+00,1.905225853427722075e-04
5.170395745585720348e+00,1.092286291059680966e-05
5.170440340584957717e+00,2.075716400478517365e-05
5.178501812120759773e+00,5.943339854891068266e-03
5.178583621771341683e+00,3.580372856358887950e-03
5.179999131260501599e+00,1.857923753292048952e-01
5.180044295385010322e+00,9.450290172227765462e-02
5.181898343728077450e+00,1.982300186846579215e-02
5.196054317057213545e+00,1.438420504261136643e-02
5.197646884622763253e+00,8.762740727229184623e-03
5.198179177274494300e+00,1.016064659118909828e-02
5.198672711287414039e+00,6.121457852442336786e-05
5.203392393210706679e+00,5.840192917717755214e-03
5.206086956652192121e+00,3.339131746314026811e-04
5.206244807466079649e+00,1.017410724340917384e-03
5.220470210098312691e+00,1.196001064266220387e-04
5.220537022779145886e+00,1.722202065204180639e-04
5.281615258766679588e+00,1.198251924296695886e-01
5.288611620739295915e+00,4.492244986651717440e-05
5.288628347548441688e+00,1.858883024181661315e-05
5.306428827167334994e+00,1.054319097767607534e-05
5.306969686855979695e+00,9.477332526930984076e-05
5.320928736987648122e+00,6.151787800076073296e-05
5.321108844793491777e+00,1.261629331161113457e-04
5.375928624820216051e+00,4.360707660548959197e-01
5.380683523971851123e+00,1.796723906169886975e-01
5.385853306331441104e+00,6.350740255894403441e-02
5.403360876586856598e+00,7.998087679270089734e-02
5.419903110914532363e+00,2.125099143285859860e-01
5.425446474086222715e+00,3.409053122979357475e-01
