freq(1/um),P(a.u.)
1.533968061944976258e+00,-5.653878748473450521e-19
1.534789463852309632e+00,-7.740160602230194802e-19
1.535610865759643007e+00,-4.331647082919686843e-19
1.536432267666976159e+00,-1.443926477272565109e-19
1.537253669574309534e+00,-3.542053557401068746e-19
1.538075071481642908e+00,-6.577475533225659102e-19
1.538896473388976283e+00,-1.237859243073354855e-18
1.539717875296309435e+00,-2.120361694993929021e-19
1.540539277203642810e+00,-2.598538263498583259e-19
1.541360679110976184e+00,-2.361024931132557104e-18
1.542182081018309558e+00,-1.419044884446970037e-19
1.543003482925642711e+00,-2.012523812896615909e-18
1.543824884832976085e+00,1.526776887425876361e-19
1.544646286740309460e+00,1.292784035746875893e-19
1.545467688647642834e+00,-3.078276548999737613e-18
1.546289090554975987e+00,-4.989024059327828997e-19
1.547110492462309361e+00,-1.522435843571198072e-18
1.547931894369642736e+00,3.489775742687717397e-19
1.548753296276976110e+00,-3.053977291325379873e-18
1.549574698184309263e+00,-2.041455282001270605e-18
1.550396100091642637e+00,-4.260893362044351068e-18
1.551217501998976012e+00,-6.265926227313686758e-19
1.552038903906309386e+00,-2.120652862569547686e-18
1.552860305813642539e+00,6.930847090908312524e-19
1.553681707720975913e+00,6.194775459744325530e-18
1.554503109628309288e+00,-2.268777749220643458e-18
1.555324511535642662e+00,-4.704209230813570508e-18
1.556145913442975814e+00,-9.960048668526504112e-18
1.556967315350309189e+00,-3.392790470227100008e-18
1.557788717257642563e+00,4.888650655078194407e-18
1.558610119164975938e+00,-1.620755192923740984e-17
1.559431521072309312e+00,4.360525612465138146e-18
1.560252922979642465e+00,-6.443803146237089829e-18
1.561074324886975839e+00,2.627072685909212502e-18
1.561895726794309214e+00,-1.603899237273380407e-17
1.562717128701642588e+00,-1.452492097951674221e-17
1.563538530608975741e+00,1.346274166365984959e-17
1.564359932516309115e+00,6.597539626163745341e-18
1.565181334423642490e+00,-1.802570815051876552e-17
1.566002736330975864e+00,-2.965547051632030917e-17
1.566824138238309017e+00,1.288167706184339956e-17
1.567645540145642391e+00,-2.364577175555104827e-17
1.568466942052975766e+00,-3.664433936411554127e-17
1.569288343960309140e+00,1.212781773878707225e-17
1.570109745867642292e+00,-3.295127571408679179e-17
1.570931147774975667e+00,-2.067268611068845408e-17
1.571752549682309041e+00,1.736417541871315695e-17
1.572573951589642416e+00,-2.414382712853657686e-17
1.573395353496975568e+00,-5.068306343190831509e-17
1.574216755404308943e+00,2.226341398563203011e-17
1.575038157311642317e+00,-5.364767874729836628e-17
1.575859559218975692e+00,-7.697835424647081481e-18
1.576680961126308844e+00,4.307670756556469804e-17
1.577502363033642219e+00,-3.784882021511115635e-17
1.578323764940975593e+00,-3.020180676729933289e-17
1.579145166848308968e+00,5.114723748700367167e-17
1.579966568755642342e+00,-4.397117435786523920e-17
1.580787970662975495e+00,1.111171701526081357e-16
1.581609372570308869e+00,-4.854515227303846103e-17
1.582430774477642244e+00,1.132381406525329037e-16
1.583252176384975618e+00,-8.044102493484639460e-17
1.584073578292308770e+00,2.323513018272216346e-16
1.584894980199642145e+00,-1.915514188238764959e-16
1.585716382106975519e+00,8.065108910576546108e-17
1.586537784014308894e+00,7.086616449908378357e-17
